"eeio_model","country","code_ape_a732","aggregate","fpt","unit","year","accuracy_mapping_a732"
"EEIO_CANADA","FR","01.11Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.11Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.11Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.11Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.12Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.12Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.12Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.12Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.13Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.13Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.13Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.13Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.14Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.14Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.14Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.14Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.15Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.15Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.15Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.15Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.16Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.16Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.16Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.16Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.19Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.19Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.19Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.19Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.21Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.21Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.21Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.21Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.22Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.22Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.22Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.22Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.23Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.23Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.23Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.23Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.24Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.24Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.24Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.24Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.25Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.25Z","GVA",814,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.25Z","IC",66,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.25Z","PRD",586,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.26Z","FD",610,"GCO2E_EUR",2022,3
"EEIO_CANADA","FR","01.26Z","GVA",814,"GCO2E_EUR",2022,3
