"eeio_model","country","code_ape_a732","aggregate","fpt","unit","year","accuracy_mapping_a732"
"EEIO_DK","FR","01.11Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.11Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.11Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.11Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.12Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.12Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.12Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.12Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.13Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.13Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.13Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.13Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.14Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.14Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.14Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.14Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.15Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.15Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.15Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.15Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.16Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.16Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.16Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.16Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.19Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.19Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.19Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.19Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.21Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.21Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.21Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.21Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.22Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.22Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.22Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.22Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.23Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.23Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.23Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.23Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.24Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.24Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.24Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.24Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.25Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.25Z","GVA",374,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.25Z","IC",2,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.25Z","PRD",102,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.26Z","FD",105,"GCO2E_EUR",2022,4
"EEIO_DK","FR","01.26Z","GVA",374,"GCO2E_EUR",2022,4
