"eeio_model","country","code_ape_a732","aggregate","fpt","unit","year","accuracy_mapping_a732"
"EEIO_UK","FR","01.11Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.11Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.11Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.11Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.12Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.12Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.12Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.12Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.13Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.13Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.13Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.13Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.14Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.14Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.14Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.14Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.15Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.15Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.15Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.15Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.16Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.16Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.16Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.16Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.19Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.19Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.19Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.19Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.21Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.21Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.21Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.21Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.22Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.22Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.22Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.22Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.23Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.23Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.23Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.23Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.24Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.24Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.24Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.24Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.25Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.25Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.25Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.25Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.26Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.26Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.26Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.26Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.27Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.27Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.27Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.27Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.28Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.28Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.28Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.28Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.29Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.29Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.29Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.29Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.30Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.30Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.30Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.30Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.41Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.41Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.41Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.41Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.42Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.42Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.42Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.42Z","PRD",1672,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.43Z","FD",2051,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.43Z","GVA",4704,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.43Z","IC",129,"GCO2E_EUR",2022,4
"EEIO_UK","FR","01.43Z","PRD",1672,"GCO2E_EUR",2022,4
