"eeio_model","country","code_ape_a732","aggregate","fpt","unit","year","accuracy_mapping_a732"
"EEIO_US","FR","01.11Z","FD",1141,"GCO2E_EUR",2022,2
"EEIO_US","FR","01.11Z","GVA",4289,"GCO2E_EUR",2022,2
"EEIO_US","FR","01.11Z","IC",94,"GCO2E_EUR",2022,2
"EEIO_US","FR","01.11Z","PRD",971,"GCO2E_EUR",2022,2
"EEIO_US","FR","01.12Z","FD",1647,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.12Z","GVA",7560,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.12Z","IC",130,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.12Z","PRD",1436,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.13Z","FD",717,"GCO2E_EUR",2022,1
"EEIO_US","FR","01.13Z","GVA",1504,"GCO2E_EUR",2022,1
"EEIO_US","FR","01.13Z","IC",101,"GCO2E_EUR",2022,1
"EEIO_US","FR","01.13Z","PRD",709,"GCO2E_EUR",2022,1
"EEIO_US","FR","01.14Z","FD",958,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.14Z","GVA",2511,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.14Z","IC",103,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.14Z","PRD",926,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.15Z","FD",958,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.15Z","GVA",2511,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.15Z","IC",103,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.15Z","PRD",926,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.16Z","FD",958,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.16Z","GVA",2511,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.16Z","IC",103,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.16Z","PRD",926,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.19Z","FD",958,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.19Z","GVA",2511,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.19Z","IC",103,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.19Z","PRD",926,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.21Z","FD",339,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.21Z","GVA",490,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.21Z","IC",83,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.21Z","PRD",331,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.22Z","FD",339,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.22Z","GVA",490,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.22Z","IC",83,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.22Z","PRD",331,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.23Z","FD",339,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.23Z","GVA",490,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.23Z","IC",83,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.23Z","PRD",331,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.24Z","FD",339,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.24Z","GVA",490,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.24Z","IC",83,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.24Z","PRD",331,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.25Z","FD",339,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.25Z","GVA",490,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.25Z","IC",83,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.25Z","PRD",331,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.26Z","FD",339,"GCO2E_EUR",2022,3
"EEIO_US","FR","01.26Z","GVA",490,"GCO2E_EUR",2022,3
