"code_ape_a732","year","imported_fpt"
"01.22Z",2022,124.441528059421
"01.24Z",2022,124.441528059421
"01.25Z",2022,124.441528059421
"01.26Z",2022,124.441528059421
"01.23Z",2022,124.441528059421
"01.28Z",2022,124.441528059421
"01.29Z",2022,124.441528059421
"01.30Z",2022,124.441528059421
"01.27Z",2022,124.441528059421
"01.42Z",2022,124.441528059421
"01.43Z",2022,124.441528059421
"01.44Z",2022,124.441528059421
"01.45Z",2022,124.441528059421
"01.46Z",2022,124.441528059421
"01.47Z",2022,124.441528059421
"01.49Z",2022,124.441528059421
"01.50Z",2022,124.441528059421
"01.61Z",2022,124.441528059421
"01.62Z",2022,124.441528059421
"01.63Z",2022,124.441528059421
"01.64Z",2022,124.441528059421
"01.41Z",2022,124.441528059421
"01.15Z",2022,124.441528059421
"01.16Z",2022,124.441528059421
"01.19Z",2022,124.441528059421
"01.21Z",2022,124.441528059421
"01.70Z",2022,124.441528059421
"01.11Z",2022,124.441528059421
"01.12Z",2022,124.441528059421
"01.13Z",2022,124.441528059421
"01.14Z",2022,124.441528059421
"02.40Z",2022,27.057199078411
"02.20Z",2022,27.057199078411
"02.30Z",2022,27.057199078411
"02.10Z",2022,27.057199078411
"03.12Z",2022,139.474343274106
"03.21Z",2022,139.474343274106
"03.11Z",2022,139.474343274106
"03.22Z",2022,139.474343274106
"07.10Z",2022,113.214535323199
"07.21Z",2022,113.214535323199
"07.29Z",2022,113.214535323199
"06.10Z",2022,113.214535323199
"06.20Z",2022,113.214535323199
"08.91Z",2022,113.214535323199
"08.11Z",2022,113.214535323199
"05.20Z",2022,113.214535323199
"08.12Z",2022,113.214535323199
"08.99Z",2022,113.214535323199
"09.10Z",2022,113.214535323199
"08.92Z",2022,113.214535323199
"08.93Z",2022,113.214535323199
"09.90Z",2022,113.214535323199
"05.10Z",2022,113.214535323199
"11.07B",2022,135.445948185584
"12.00Z",2022,135.445948185584
"11.07A",2022,135.445948185584
"10.62Z",2022,135.445948185584
"10.71B",2022,135.445948185584
"11.06Z",2022,135.445948185584
"10.71C",2022,135.445948185584
"10.71D",2022,135.445948185584
"10.71A",2022,135.445948185584
"10.39A",2022,135.445948185584
"10.61A",2022,135.445948185584
"10.61B",2022,135.445948185584
"10.31Z",2022,135.445948185584
"10.52Z",2022,135.445948185584
"11.04Z",2022,135.445948185584
"10.39B",2022,135.445948185584
"10.41A",2022,135.445948185584
"10.32Z",2022,135.445948185584
"10.73Z",2022,135.445948185584
"10.81Z",2022,135.445948185584
"10.82Z",2022,135.445948185584
"10.72Z",2022,135.445948185584
"10.85Z",2022,135.445948185584
"11.05Z",2022,135.445948185584
"11.02A",2022,135.445948185584
"11.02B",2022,135.445948185584
"11.03Z",2022,135.445948185584
"10.42Z",2022,135.445948185584
"10.51A",2022,135.445948185584
"10.51B",2022,135.445948185584
"10.41B",2022,135.445948185584
"10.51D",2022,135.445948185584
"11.01Z",2022,135.445948185584
"10.13A",2022,135.445948185584
"10.83Z",2022,135.445948185584
"10.20Z",2022,135.445948185584
"10.11Z",2022,135.445948185584
"10.12Z",2022,135.445948185584
"10.13B",2022,135.445948185584
"10.51C",2022,135.445948185584
"10.86Z",2022,135.445948185584
"10.89Z",2022,135.445948185584
"10.84Z",2022,135.445948185584
"10.92Z",2022,135.445948185584
"10.91Z",2022,135.445948185584
"14.12Z",2022,153.001188811422
"13.93Z",2022,153.001188811422
"13.94Z",2022,153.001188811422
"13.95Z",2022,153.001188811422
"13.30Z",2022,153.001188811422
"13.91Z",2022,153.001188811422
"13.10Z",2022,153.001188811422
"13.96Z",2022,153.001188811422
"13.99Z",2022,153.001188811422
"13.92Z",2022,153.001188811422
"14.11Z",2022,153.001188811422
"13.20Z",2022,153.001188811422
"15.20Z",2022,153.001188811422
"14.14Z",2022,153.001188811422
"14.39Z",2022,153.001188811422
"15.11Z",2022,153.001188811422
"14.13Z",2022,153.001188811422
"14.20Z",2022,153.001188811422
"14.31Z",2022,153.001188811422
"14.19Z",2022,153.001188811422
"15.12Z",2022,153.001188811422
"16.29Z",2022,88.5859492958345
"16.10B",2022,88.5859492958345
"16.23Z",2022,88.5859492958345
"16.10A",2022,88.5859492958345
"16.21Z",2022,88.5859492958345
"16.24Z",2022,88.5859492958345
"16.22Z",2022,88.5859492958345
"17.12Z",2022,171.03862504052
"17.24Z",2022,171.03862504052
"17.11Z",2022,171.03862504052
"17.22Z",2022,171.03862504052
"17.23Z",2022,171.03862504052
"17.21A",2022,171.03862504052
"17.29Z",2022,171.03862504052
"17.21C",2022,171.03862504052
"17.21B",2022,171.03862504052
"18.20Z",2022,129.92988253819
"18.11Z",2022,129.92988253819
"18.12Z",2022,129.92988253819
"18.13Z",2022,129.92988253819
"18.14Z",2022,129.92988253819
"19.20Z",2022,523.858666549546
"19.10Z",2022,523.858666549546
"20.60Z",2022,259.819223906098
"20.13B",2022,259.819223906098
"20.15Z",2022,259.819223906098
"20.14Z",2022,259.819223906098
"20.13A",2022,259.819223906098
"20.59Z",2022,259.819223906098
"20.17Z",2022,259.819223906098
"20.16Z",2022,259.819223906098
"20.30Z",2022,259.819223906098
"20.11Z",2022,259.819223906098
"20.41Z",2022,259.819223906098
"20.20Z",2022,259.819223906098
"20.12Z",2022,259.819223906098
"20.52Z",2022,259.819223906098
"20.53Z",2022,259.819223906098
"20.42Z",2022,259.819223906098
"20.51Z",2022,259.819223906098
"21.10Z",2022,107.186487135133
"21.20Z",2022,107.186487135133
"22.21Z",2022,227.71797576457
"22.11Z",2022,227.71797576457
"22.19Z",2022,227.71797576457
"22.29A",2022,227.71797576457
"22.22Z",2022,227.71797576457
"22.23Z",2022,227.71797576457
"22.29B",2022,227.71797576457
"23.20Z",2022,171.723391028828
"23.14Z",2022,171.723391028828
"23.64Z",2022,171.723391028828
"23.65Z",2022,171.723391028828
"23.69Z",2022,171.723391028828
"23.19Z",2022,171.723391028828
"23.63Z",2022,171.723391028828
