"year","code_ape_a732","aggregate","fpt","accuracy_fpt","unit","libelle_ape_a732"
"2022","01.11Z","IC",248,2.8,"GCO2E_EUR","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
"2022","01.11Z","GVA",2773,2.8,"GCO2E_EUR","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
"2022","01.11Z","PRD",886,2.8,"GCO2E_EUR","Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
"2022","01.12Z","GVA",3062,3.4,"GCO2E_EUR","Culture du riz"
"2022","01.12Z","IC",273,3.4,"GCO2E_EUR","Culture du riz"
"2022","01.12Z","PRD",948,3.4,"GCO2E_EUR","Culture du riz"
"2022","01.13Z","GVA",1483,2,"GCO2E_EUR","Culture de légumes, de melons, de racines et de tubercules"
"2022","01.13Z","IC",243,2,"GCO2E_EUR","Culture de légumes, de melons, de racines et de tubercules"
"2022","01.13Z","PRD",769,2,"GCO2E_EUR","Culture de légumes, de melons, de racines et de tubercules"
"2022","01.14Z","PRD",811,3.4,"GCO2E_EUR","Culture de la canne à sucre"
"2022","01.14Z","GVA",1712,3.4,"GCO2E_EUR","Culture de la canne à sucre"
"2022","01.14Z","IC",265,3.4,"GCO2E_EUR","Culture de la canne à sucre"
"2022","01.15Z","PRD",811,3.4,"GCO2E_EUR","Culture du tabac"
"2022","01.15Z","GVA",1712,3.4,"GCO2E_EUR","Culture du tabac"
"2022","01.15Z","IC",265,3.4,"GCO2E_EUR","Culture du tabac"
"2022","01.16Z","IC",265,3.4,"GCO2E_EUR","Culture de plantes à fibres"
"2022","01.16Z","PRD",811,3.4,"GCO2E_EUR","Culture de plantes à fibres"
"2022","01.16Z","GVA",1712,3.4,"GCO2E_EUR","Culture de plantes à fibres"
"2022","01.19Z","GVA",1712,3.4,"GCO2E_EUR","Autres cultures non permanentes"
"2022","01.19Z","IC",265,3.4,"GCO2E_EUR","Autres cultures non permanentes"
"2022","01.19Z","PRD",811,3.4,"GCO2E_EUR","Autres cultures non permanentes"
