"canada_eeio_industry_code";"canada_eeio_industry_label"
"BS11A00";"Crop and animal production"
"BS11300";"Forestry and logging"
"BS11400";"Fishing, hunting and trapping"
"BS11500";"Support activities for agriculture and forestry"
"BS21100";"Oil and gas extraction"
"BS21210";"Coal mining"
"BS21220";"Metal ore mining"
"BS21230";"Non-metallic mineral mining and quarrying"
"BS21300";"Support activities for mining and oil and gas extraction"
"BS22110";"Electric power generation, transmission and distribution"
"BS221A0";"Natural gas distribution, water, sewage and other systems"
"BS23A00";"Residential building construction"
"BS33410";"Computer and peripheral equipment manufacturing"
"BS334B0";"Electronic product manufacturing"
"BS335A0";"Electrical  equipment and component manufacturing"
"BS33520";"Household appliance manufacturing"
"BS33610";"Motor vehicle manufacturing"
"BS33620";"Motor vehicle body and trailer manufacturing"
"BS33630";"Motor vehicle parts manufacturing"
"BS33640";"Aerospace product and parts manufacturing"
"BS33650";"Railroad rolling stock manufacturing"
"BS33660";"Ship and boat building"
"BS33690";"Other transportation equipment manufacturing"
"BS33700";"Furniture and related product manufacturing"
"BS33900";"Miscellaneous manufacturing"
"BS41000";"Wholesale trade"
"BS4A000";"Retail trade"
"BS48100";"Air transportation"
"BS48200";"Rail transportation"
"BS48300";"Water transportation"
"BS48400";"Truck transportation"
"BS48B00";"Transit, ground passenger and scenic and sightseeing transportation, taxi and limousine service and support activities for transportation"
"BS48600";"Pipeline transportation"
"BS49A00";"Postal service and couriers and messengers"
"BS49300";"Warehousing and storage"
"BS51200";"Motion picture and sound recording industries"
"BS51510";"Radio and television broadcasting"
"BS51B00";"Publishing, pay/specialty services, telecommunications and other information services"
"BS52B00";"Depository credit intermediation and monetary authorities"
"BS52410";"Insurance carriers"
"BS53110";"Lessors of real estate"
"BS5311A";"Owner-occupied dwellings"
"BS53B00";"Rental and leasing services and lessors of non-financial intangible assets (except copyrighted works)"
"BS5A000";"Other finance, insurance and real estate services and management of companies and enterprises"
"BS541C0";"Legal, accounting and architectural, engineering and related services"
"BS541D0";"Computer systems design and other professional, scientific and technical services"
"BS54180";"Advertising, public relations and related services"
"BS56100";"Administrative and support services"
"BS56200";"Waste management and remediation services"
"BS23B00";"Non-residential building construction"
"BS23C10";"Transportation engineering construction"
"BS23C20";"Oil and gas engineering construction"
"BS23C30";"Electric power engineering construction"
"BS23C40";"Communication engineering construction"
"BS23C50";"Other engineering construction"
"BS23D00";"Repair construction"
"BS23E00";"Other activities of the construction industry"
"BS31110";"Animal food manufacturing"
"BS31130";"Sugar and confectionery product manufacturing"
"BS31140";"Fruit and vegetable preserving and specialty food manufacturing"
"BS31150";"Dairy product manufacturing"
"BS31160";"Meat product manufacturing"
"BS31170";"Seafood product preparation and packaging"
"BS311A0";"Miscellaneous food manufacturing"
"BS31211";"Soft drink and ice manufacturing"
"BS31212";"Breweries"
"BS3121A";"Wineries and distilleries"
"BS31220";"Tobacco manufacturing"
"BS31A00";"Textile and textile product mills"
"BS31B00";"Clothing and leather and allied product manufacturing"
"BS32100";"Wood product manufacturing"
"BS32210";"Pulp, paper and paperboard mills"
"BS32220";"Converted paper product manufacturing"
"BS32300";"Printing and related support activities"
"BS32400";"Petroleum and coal product manufacturing"
"BS32510";"Basic chemical manufacturing"
"BS32530";"Pesticide, fertilizer and other agricultural chemical manufacturing"
"BS32540";"Pharmaceutical and medicine manufacturing"
"BS32610";"Plastic product manufacturing"
"BS32620";"Rubber product manufacturing"
"BS327A0";"Non-metallic mineral product manufacturing (except cement and concrete products)"
"BS32730";"Cement and concrete product manufacturing"
"BS33100";"Primary metal manufacturing"
"BS33200";"Fabricated metal product manufacturing"
"BS33300";"Machinery manufacturing"
"BS61000";"Educational services"
"BS62000";"Health care and social assistance"
"BS71000";"Arts, entertainment and recreation"
"BS72000";"Accommodation and food services"
"BS81100";"Repair and maintenance"
"BS81A00";"Personal services and private households"
"BS81300";"Professional and similar organisations"
"FC11000";"Repair and maintenance"
"FC12000";"Operating supplies"
"FC13000";"Office supplies"
"FC20000";"Advertising, promotion, meals, entertainment, and travel"
"FC30000";"Transportation margins"
"NP61000";"Non-profit education services"
"NP62400";"Non-profit social assistance"
"NP71000";"Non-profit arts, entertainment and recreation"
"NP81310";"Religious organizations"
"NPA0000";"Miscellaneous non-profit institutions serving households"
"GS611B0";"Educational services (except universities)"
"GS61130";"Universities"
"GS62200";"Hospitals"
"GS62300";"Nursing and residential care facilities"
"GS91100";"Other federal government services"
"GS91200";"Other provincial and territorial government services"
"GS91300";"Other municipal government services"
"GS91400";"Other Indigenous government services"
"BS325C0";"Miscellaneous chemical product manufacturing"
"BS11B00";"Crop and animal production (except cannabis)"
"BS111CL";"Cannabis production (licensed)"
"BS111CU";"Cannabis production (unlicensed)"
"BS4AA00";"Retail trade (except cannabis)"
"BS453BL";"Cannabis stores (licensed)"
"BS453BU";"Cannabis stores (unlicensed)"
"BS312A0";"Tobacco and cannabis product manufacturing"
"BS33400";"Computer and electronic product manufacturing"
"BS33500";"Electrical equipment, appliance and component manufacturing"
"BS459BL";"Cannabis retailers (licensed)"
"BS459BU";"Cannabis retailers (unlicensed)"
"BS51610";"Radio and television broadcasting stations"
"GS62B00";"Health care and social assistance (except nursing and residential care facilities)"
