"code";"sector";"label_en"
"BS111400";;"Greenhouse, nursery and floriculture production"
"BS1114A0";"BS11B00";"Greenhouse, nursery and floriculture production (except cannabis)"
"BS111A00";"BS11B00";"Crop production (except cannabis, greenhouse, nursery and floriculture production)"
"BS111CL0";"BS111CL";"Cannabis production (licensed)"
"BS111CU0";"BS111CU";"Cannabis production (unlicensed)"
"BS112500";"BS11B00";"Aquaculture"
"BS112A00";"BS11B00";"Animal production (except aquaculture)"
"BS113000";"BS11300";"Forestry and logging"
"BS114000";"BS11400";"Fishing, hunting and trapping"
"BS115300";"BS11500";"Support activities for forestry"
"BS115A00";"BS11500";"Support activities for crop and animal production"
"BS211110";"BS21100";"Oil and gas extraction (except oil sands)"
"BS211113";;"Conventional oil and gas extraction"
"BS211114";;"Non-conventional oil extraction"
"BS211140";"BS21100";"Oil sands extraction"
"BS212100";"BS21210";"Coal mining"
"BS212210";"BS21220";"Iron ore mining"
"BS212220";"BS21220";"Gold and silver ore mining"
"BS212230";"BS21220";"Copper, nickel, lead and zinc ore mining"
"BS212290";"BS21220";"Other metal ore mining"
"BS212310";"BS21230";"Stone mining and quarrying"
"BS212320";"BS21230";"Sand, gravel, clay, and ceramic and refractory minerals mining and quarrying"
"BS212392";"BS21230";"Diamond mining"
"BS212396";"BS21230";"Potash mining"
"BS21239A";"BS21230";"Other non-metallic mineral mining and quarrying (except diamond and potash)"
"BS21311A";"BS21300";"Support activities for oil and gas extraction"
"BS21311B";"BS21300";"Support activities for mining"
"BS221100";"BS22110";"Electric power generation, transmission and distribution"
"BS221200";"BS221A0";"Natural gas distribution"
"BS221300";"BS221A0";"Water, sewage and other systems"
"BS23A000";"BS23A00";"Residential building construction"
"BS23B000";"BS23B00";"Non-residential building construction"
"BS23C100";"BS23C10";"Transportation engineering construction"
"BS23C200";"BS23C20";"Oil and gas engineering construction"
"BS23C300";"BS23C30";"Electric power engineering construction"
"BS23C400";"BS23C40";"Communication engineering construction"
"BS23C500";"BS23C50";"Other engineering construction"
"BS23D000";"BS23D00";"Repair construction"
"BS23E000";"BS23E00";"Other activities of the construction industry"
"BS311100";"BS31110";"Animal food manufacturing"
"BS311200";"BS311A0";"Grain and oilseed milling"
"BS311300";"BS31130";"Sugar and confectionery product manufacturing"
"BS311400";"BS31140";"Fruit and vegetable preserving and specialty food manufacturing"
"BS311500";"BS31150";"Dairy product manufacturing"
"BS311600";"BS31160";"Meat product manufacturing"
"BS311700";"BS31170";"Seafood product preparation and packaging"
"BS311800";"BS311A0";"Bakeries and tortilla manufacturing"
"BS311900";"BS311A0";"Other food manufacturing"
"BS312110";"BS31211";"Soft drink and ice manufacturing"
"BS312120";"BS31212";"Breweries"
"BS3121A0";"BS3121A";"Wineries and distilleries"
"BS312200";"BS312A0";"Tobacco manufacturing"
"BS312A00";"BS312A0";"Tobacco manufacturing"
"BS31A000";"BS31A00";"Textile and textile product mills"
"BS31B000";"BS31B00";"Clothing and leather and allied product manufacturing"
"BS321100";"BS32100";"Sawmills and wood preservation"
"BS321200";"BS32100";"Veneer, plywood and engineered wood product manufacturing"
"BS321900";"BS32100";"Other wood product manufacturing"
"BS322100";"BS32210";"Pulp, paper and paperboard mills"
"BS322200";"BS32220";"Converted paper product manufacturing"
"BS323000";"BS32300";"Printing and related support activities"
"BS324110";"BS32400";"Petroleum refineries"
"BS3241A0";"BS32400";"Petroleum and coal product manufacturing (except petroleum refineries)"
"BS325100";"BS32510";"Basic chemical manufacturing"
"BS325200";"BS325C0";"Resin, synthetic rubber, and artificial and synthetic fibres and filaments manufacturing"
"BS325300";"BS32530";"Pesticide, fertilizer and other agricultural chemical manufacturing"
"BS325400";"BS32540";"Pharmaceutical and medicine manufacturing"
"BS325500";"BS325C0";"Paint, coating and adhesive manufacturing"
"BS325600";"BS325C0";"Soap, cleaning compound and toilet preparation manufacturing"
"BS325900";"BS325C0";"Other chemical product manufacturing"
"BS326100";"BS32610";"Plastic product manufacturing"
"BS326200";"BS32620";"Rubber product manufacturing"
"BS327300";"BS32730";"Cement and concrete product manufacturing"
"BS327A00";"BS327A0";"Non-metallic mineral product manufacturing (except cement and concrete products)"
"BS331100";"BS33100";"Iron and steel mills and ferro-alloy manufacturing"
"BS331200";"BS33100";"Steel product manufacturing from purchased steel"
"BS331300";"BS33100";"Alumina and aluminum production and processing"
"BS331400";"BS33100";"Non-ferrous metal (except aluminum) production and processing"
"BS331500";"BS33100";"Foundries"
"BS332100";"BS33200";"Forging and stamping"
"BS332300";"BS33200";"Architectural and structural metals manufacturing"
"BS332400";"BS33200";"Boiler, tank and shipping container manufacturing"
"BS332500";"BS33200";"Hardware manufacturing"
"BS332600";"BS33200";"Spring and wire product manufacturing"
"BS332700";"BS33200";"Machine shops, turned product, and screw, nut and bolt manufacturing"
"BS332800";"BS33200";"Coating, engraving, cold and heat treating and allied activities"
"BS332A00";"BS33200";"Cutlery, hand tools and other fabricated metal product manufacturing"
"BS333100";"BS33300";"Agricultural, construction and mining machinery manufacturing"
"BS333200";"BS33300";"Industrial machinery manufacturing"
"BS333300";"BS33300";"Commercial and service industry machinery manufacturing"
"BS333400";"BS33300";"Ventilation, heating, air-conditioning and commercial refrigeration equipment manufacturing"
"BS333500";"BS33300";"Metalworking machinery manufacturing"
"BS333600";"BS33300";"Engine, turbine and power transmission equipment manufacturing"
"BS333900";"BS33300";"Other general-purpose machinery manufacturing"
"BS334100";"BS33400";"Computer and peripheral equipment manufacturing"
"BS334200";"BS33400";"Communications equipment manufacturing"
"BS334400";"BS33400";"Semiconductor and other electronic component manufacturing"
"BS334A00";"BS33400";"Other electronic product manufacturing"
"BS335100";"BS33500";"Electric lighting equipment manufacturing"
"BS335200";"BS33500";"Household appliance manufacturing"
"BS335300";"BS33500";"Electrical equipment manufacturing"
"BS335900";"BS33500";"Other electrical equipment and component manufacturing"
"BS336110";"BS33610";"Automobile and light-duty motor vehicle manufacturing"
"BS336120";"BS33610";"Heavy-duty truck manufacturing"
"BS336200";"BS33620";"Motor vehicle body and trailer manufacturing"
"BS336310";"BS33630";"Motor vehicle gasoline engine and engine parts manufacturing"
"BS336320";"BS33630";"Motor vehicle electrical and electronic equipment manufacturing"
"BS336330";"BS33630";"Motor vehicle steering and suspension components (except spring) manufacturing"
"BS336340";"BS33630";"Motor vehicle brake system manufacturing"
"BS336350";"BS33630";"Motor vehicle transmission and power train parts manufacturing"
"BS336360";"BS33630";"Motor vehicle seating and interior trim manufacturing"
"BS336370";"BS33630";"Motor vehicle metal stamping"
"BS336390";"BS33630";"Other motor vehicle parts manufacturing"
"BS336400";"BS33640";"Aerospace product and parts manufacturing"
"BS336500";"BS33650";"Railroad rolling stock manufacturing"
"BS336600";"BS33660";"Ship and boat building"
"BS336900";"BS33690";"Other transportation equipment manufacturing"
"BS337100";"BS33700";"Household and institutional furniture and kitchen cabinet manufacturing"
"BS337200";"BS33700";"Office furniture (including fixtures) manufacturing"
"BS337900";"BS33700";"Other furniture-related product manufacturing"
"BS339100";"BS33900";"Medical equipment and supplies manufacturing"
"BS339900";"BS33900";"Other miscellaneous manufacturing"
"BS411000";"BS41000";"Farm product merchant wholesalers"
"BS412000";"BS41000";"Petroleum and petroleum products merchant wholesalers"
