"code_ape_a732";"label_ape_a732";"code_eeio_canada";"label_eeio_canada";"flag_mapping_a732";"accuracy_mapping_a732"
"01.11Z";"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.12Z";"Culture du riz";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.13Z";"Culture de légumes, de melons, de racines et de tubercules";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.14Z";"Culture de la canne à sucre";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.15Z";"Culture du tabac";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.16Z";"Culture de plantes à fibres";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.19Z";"Autres cultures non permanentes";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.21Z";"Culture de la vigne";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.22Z";"Culture de fruits tropicaux et subtropicaux";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.23Z";"Culture d'agrumes";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.24Z";"Culture de fruits à pépins et à noyau";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.25Z";"Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.26Z";"Culture de fruits oléagineux";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.27Z";"Culture de plantes à boissons";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.28Z";"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.29Z";"Autres cultures permanentes";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.30Z";"Reproduction de plantes";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.41Z";"Élevage de vaches laitières";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.42Z";"Élevage d'autres bovins et de buffles";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.43Z";"Élevage de chevaux et d'autres équidés";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.44Z";"Élevage de chameaux et d'autres camélidés";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.45Z";"Élevage d'ovins et de caprins";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.46Z";"Élevage de porcins";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.47Z";"Élevage de volailles";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.49Z";"Élevage d'autres animaux";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.50Z";"Culture et élevage associés";"BS11B00";"Crop and animal production (except cannabis)";"";3
"01.61Z";"Activités de soutien aux cultures";"BS11500";"Support activities for agriculture and forestry";"";3
"01.62Z";"Activités de soutien à la production animale";"BS11500";"Support activities for agriculture and forestry";"";3
"01.63Z";"Traitement primaire des récoltes";"BS11500";"Support activities for agriculture and forestry";"";3
"01.64Z";"Traitement des semences";"BS11500";"Support activities for agriculture and forestry";"";3
"01.70Z";"Chasse, piégeage et services annexes";"BS11400";"Fishing, hunting and trapping";"";3
