"code_ape_a732";"label_ape_a732";"code_eeio_dk";"label_eeio_dk";"flag_mapping_a732";"accuracy_mapping_a732"
"01.11Z";"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagin";"010000";"Agriculture and horticulture";"";4
"01.12Z";"Culture du riz";"010000";"Agriculture and horticulture";"";4
"01.13Z";"Culture de légumes, de melons, de racines et de tubercule";"010000";"Agriculture and horticulture";"";4
"01.14Z";"Culture de la canne à sucr";"010000";"Agriculture and horticulture";"";4
"01.15Z";"Culture du tabac";"010000";"Agriculture and horticulture";"";4
"01.16Z";"Culture de plantes à fibre";"010000";"Agriculture and horticulture";"";4
"01.19Z";"Autres cultures non permanentes";"010000";"Agriculture and horticulture";"";4
"01.21Z";"Culture de la vigne";"010000";"Agriculture and horticulture";"";4
"01.22Z";"Culture de fruits tropicaux et subtropicaux";"010000";"Agriculture and horticulture";"";4
"01.23Z";"Culture d'agrumes";"010000";"Agriculture and horticulture";"";4
"01.24Z";"Culture de fruits à pépins et à no";"010000";"Agriculture and horticulture";"";4
"01.25Z";"Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coqu";"010000";"Agriculture and horticulture";"";4
"01.26Z";"Culture de fruits oléagineu";"010000";"Agriculture and horticulture";"";4
"01.27Z";"Culture de plantes à boisson";"010000";"Agriculture and horticulture";"";4
"01.28Z";"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiq";"010000";"Agriculture and horticulture";"";4
"01.29Z";"Autres cultures permanentes";"010000";"Agriculture and horticulture";"";4
"01.30Z";"Reproduction de plantes";"010000";"Agriculture and horticulture";"";4
"01.41Z";" levage de vaches laiti res";"010000";"Agriculture and horticulture";"";4
"01.42Z";" levage d'autres bovins et de buffles";"010000";"Agriculture and horticulture";"";4
"01.43Z";" levage de chevaux et d'autres  quid s";"010000";"Agriculture and horticulture";"";4
"01.44Z";" levage de chameaux et d'autres cam lid s";"010000";"Agriculture and horticulture";"";4
"01.45Z";" levage d'ovins et de caprins";"010000";"Agriculture and horticulture";"";4
"01.46Z";" levage de porcins";"010000";"Agriculture and horticulture";"";4
"01.47Z";" levage de volailles";"010000";"Agriculture and horticulture";"";4
"01.49Z";" levage d'autres animaux";"010000";"Agriculture and horticulture";"";4
"01.50Z";"Culture et élevage associ";"010000";"Agriculture and horticulture";"";4
"01.61Z";"Activités de soutien aux culture";"010000";"Agriculture and horticulture";"";4
"01.62Z";"Activités de soutien à la production anima";"010000";"Agriculture and horticulture";"";4
