"code_ape_a732";"label_ape_a732";"code_eeio_uk";"label_eeio_uk";"flag_mapping_a732";"accuracy_mapping_a732"
"01.11Z";"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses";"A01";"Products of agriculture, hunting and related services";"";4
"01.12Z";"Culture du riz";"A01";"Products of agriculture, hunting and related services";"";4
"01.13Z";"Culture de légumes, de melons, de racines et de tubercules";"A01";"Products of agriculture, hunting and related services";"";4
"01.14Z";"Culture de la canne à sucre";"A01";"Products of agriculture, hunting and related services";"";4
"01.15Z";"Culture du tabac";"A01";"Products of agriculture, hunting and related services";"";4
"01.16Z";"Culture de plantes à fibres";"A01";"Products of agriculture, hunting and related services";"";4
"01.19Z";"Autres cultures non permanentes";"A01";"Products of agriculture, hunting and related services";"";4
"01.21Z";"Culture de la vigne";"A01";"Products of agriculture, hunting and related services";"";4
"01.22Z";"Culture de fruits tropicaux et subtropicaux";"A01";"Products of agriculture, hunting and related services";"";4
"01.23Z";"Culture d'agrumes";"A01";"Products of agriculture, hunting and related services";"";4
"01.24Z";"Culture de fruits à pépins et à noyau";"A01";"Products of agriculture, hunting and related services";"";4
"01.25Z";"Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque";"A01";"Products of agriculture, hunting and related services";"";4
"01.26Z";"Culture de fruits oléagineux";"A01";"Products of agriculture, hunting and related services";"";4
"01.27Z";"Culture de plantes à boissons";"A01";"Products of agriculture, hunting and related services";"";4
"01.28Z";"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques";"A01";"Products of agriculture, hunting and related services";"";4
"01.29Z";"Autres cultures permanentes";"A01";"Products of agriculture, hunting and related services";"";4
"01.30Z";"Reproduction de plantes";"A01";"Products of agriculture, hunting and related services";"";4
"01.41Z";"Élevage de vaches laitières";"A01";"Products of agriculture, hunting and related services";"";4
"01.42Z";"Élevage d'autres bovins et de buffles";"A01";"Products of agriculture, hunting and related services";"";4
"01.43Z";"Élevage de chevaux et d'autres équidés";"A01";"Products of agriculture, hunting and related services";"";4
"01.44Z";"Élevage de chameaux et d'autres camélidés";"A01";"Products of agriculture, hunting and related services";"";4
"01.45Z";"Élevage d'ovins et de caprins";"A01";"Products of agriculture, hunting and related services";"";4
"01.46Z";"Élevage de porcins";"A01";"Products of agriculture, hunting and related services";"";4
"01.47Z";"Élevage de volailles";"A01";"Products of agriculture, hunting and related services";"";4
"01.49Z";"Élevage d'autres animaux";"A01";"Products of agriculture, hunting and related services";"";4
"01.50Z";"Culture et élevage associés";"A01";"Products of agriculture, hunting and related services";"";4
"01.61Z";"Activités de soutien aux cultures";"A01";"Products of agriculture, hunting and related services";"";4
"01.62Z";"Activités de soutien à la production animale";"A01";"Products of agriculture, hunting and related services";"";4
"01.63Z";"Traitement primaire des récoltes";"A01";"Products of agriculture, hunting and related services";"";4
"01.64Z";"Traitement des semences";"A01";"Products of agriculture, hunting and related services";"";4
"01.70Z";"Chasse, piégeage et services annexes";"A01";"Products of agriculture, hunting and related services";"";4
"02.10Z";"Sylviculture et autres activités forestières";"A02";"Products of forestry, logging and related services";"";4
"02.20Z";"Exploitation forestière";"A02";"Products of forestry, logging and related services";"";4
"02.30Z";"Récolte de produits forestiers non ligneux poussant à l'état sauvage";"A02";"Products of forestry, logging and related services";"";4
"02.40Z";"Services de soutien à l'exploitation forestière";"A02";"Products of forestry, logging and related services";"";4
"03.11Z";"Pêche en mer";"A03";"Fish and other fishing products, aquaculture products, support services to fishing";"";4
"03.12Z";"Pêche en eau douce";"A03";"Fish and other fishing products, aquaculture products, support services to fishing";"";4
"03.21Z";"Aquaculture en mer";"A03";"Fish and other fishing products, aquaculture products, support services to fishing";"";4
"03.22Z";"Aquaculture en eau douce";"A03";"Fish and other fishing products, aquaculture products, support services to fishing";"";4
"05.10Z";"Extraction de houille";"B05";"Mining of coal and lignite";"";2
"05.20Z";"Extraction de lignite";"B05";"Mining of coal and lignite";"";2
"06.10Z";"Extraction de pétrole brut";"B06 & B07";"Crude petroleum and natural gas";"";3
"06.20Z";"Extraction de gaz naturel";"B06 & B07";"Crude petroleum and natural gas";"";3
"07.10Z";"Extraction de minerais de fer";"B06 & B07";"Mining of metal ores";"";3
"07.21Z";"Extraction de minerais d'uranium et de thorium";"B06 & B07";"Mining of metal ores";"";3
"07.29Z";"Extraction d'autres minerais de métaux non ferreux";"B06 & B07";"Mining of metal ores";"";3
"08.11Z";"Extraction de pierres ornementales et de construction, de calcaire industriel, de gypse, de craie et d'ardoise";"B08";"Other mining and quarrying products";"";3
"08.12Z";"Exploitation de gravières et sablières, extraction d’argiles et de kaolin";"B08";"Other mining and quarrying products";"";3
"08.91Z";"Extraction des minéraux chimiques et d'engrais minéraux";"B08";"Other mining and quarrying products";"";3
"08.92Z";"Extraction de tourbe";"B08";"Other mining and quarrying products";"";3
"08.93Z";"Production de sel";"B08";"Other mining and quarrying products";"";3
