"code_ape_a732";"label_ape_a732";"code_eeio_us";"label_eeio_us";"flag_mapping_a732";"accuracy_mapping_a732"
"01.11Z";"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses";"1111A0";"Oilseed farming";"p";2
"01.11Z";"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses";"1111B0";"Grain farming";"p";2
"01.12Z";"Culture du riz";"1111B0";"Grain farming";"";3
"01.13Z";"Culture de légumes, de melons, de racines et de tubercules";"111200";"Vegetable and melon farming";"";1
"01.14Z";"Culture de la canne à sucre";"111900";"Other crop farming";"";3
"01.15Z";"Culture du tabac";"111900";"Other crop farming";"";3
"01.16Z";"Culture de plantes à fibres";"111900";"Other crop farming";"";3
"01.19Z";"Autres cultures non permanentes";"111900";"Other crop farming";"";3
"01.21Z";"Culture de la vigne";"111300";"Fruit and tree nut farming";"";3
"01.22Z";"Culture de fruits tropicaux et subtropicaux";"111300";"Fruit and tree nut farming";"";3
"01.23Z";"Culture d'agrumes";"111300";"Fruit and tree nut farming";"";3
"01.24Z";"Culture de fruits à pépins et à noyau";"111300";"Fruit and tree nut farming";"";3
"01.25Z";"Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque";"111300";"Fruit and tree nut farming";"";3
"01.26Z";"Culture de fruits oléagineux";"111300";"Fruit and tree nut farming";"";3
"01.27Z";"Culture de plantes à boissons";"111300";"Fruit and tree nut farming";"";3
"01.28Z";"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques";"111900";"Other crop farming";"";3
"01.29Z";"Autres cultures permanentes";"111900";"Other crop farming";"p";3
"01.29Z";"Autres cultures permanentes";"111300";"Fruit and tree nut farming";"p";3
"01.30Z";"Reproduction de plantes";"111400";"Greenhouse, nursery, and floriculture production";"";1
"01.41Z";"Élevage de vaches laitières";"112120";"Dairy cattle and milk production";"";1
"01.42Z";"Élevage d'autres bovins et de buffles";"1121A0";"Beef cattle ranching and farming, including feedlots and dual-purpose ranching and farming";"";1
"01.43Z";"Élevage de chevaux et d'autres équidés";"112A00";"Animal production, except cattle and poultry and eggs";"";3
"01.44Z";"Élevage de chameaux et d'autres camélidés";"112A00";"Animal production, except cattle and poultry and eggs";"";3
"01.45Z";"Élevage d'ovins et de caprins";"112A00";"Animal production, except cattle and poultry and eggs";"";3
"01.46Z";"Élevage de porcins";"112A00";"Animal production, except cattle and poultry and eggs";"";3
"01.47Z";"Élevage de volailles";"112300";"Poultry and egg production";"";1
"01.49Z";"Élevage d'autres animaux";"112A00";"Animal production, except cattle and poultry and eggs";"";3
"01.50Z";"Culture et élevage associés";"1111A0";"Oilseed farming";"p";3
"01.50Z";"Culture et élevage associés";"1111B0";"Oilseed farming";"p";3
"01.50Z";"Culture et élevage associés";"111200";"Vegetable and melon farming";"p";3
"01.50Z";"Culture et élevage associés";"111300";"Fruit and tree nut farming";"p";3
"01.50Z";"Culture et élevage associés";"111900";"Other crop farming";"p";3
