"code";"classe";"groupe";"division";"industry";"section";"label_fr"
"00.00Z";"00.00";"00.0";"00";"TOTAL";;"Toutes activités"
"01.11Z";"01.11";"01.1";"01";"A01";"A";"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses"
"01.12Z";"01.12";"01.1";"01";"A01";"A";"Culture du riz"
"01.13Z";"01.13";"01.1";"01";"A01";"A";"Culture de légumes, de melons, de racines et de tubercules"
"01.14Z";"01.14";"01.1";"01";"A01";"A";"Culture de la canne à sucre"
"01.15Z";"01.15";"01.1";"01";"A01";"A";"Culture du tabac"
"01.16Z";"01.16";"01.1";"01";"A01";"A";"Culture de plantes à fibres"
"01.19Z";"01.19";"01.1";"01";"A01";"A";"Autres cultures non permanentes"
"01.21Z";"01.21";"01.2";"01";"A01";"A";"Culture de la vigne"
"01.22Z";"01.22";"01.2";"01";"A01";"A";"Culture de fruits tropicaux et subtropicaux"
"01.23Z";"01.23";"01.2";"01";"A01";"A";"Culture d'agrumes"
"01.24Z";"01.24";"01.2";"01";"A01";"A";"Culture de fruits à pépins et à noyau"
"01.25Z";"01.25";"01.2";"01";"A01";"A";"Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque"
"01.26Z";"01.26";"01.2";"01";"A01";"A";"Culture de fruits oléagineux"
"01.27Z";"01.27";"01.2";"01";"A01";"A";"Culture de plantes à boissons"
"01.28Z";"01.28";"01.2";"01";"A01";"A";"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques"
"01.29Z";"01.29";"01.2";"01";"A01";"A";"Autres cultures permanentes"
"01.30Z";"01.30";"01.3";"01";"A01";"A";"Reproduction de plantes"
"01.41Z";"01.41";"01.4";"01";"A01";"A";"Élevage de vaches laitières"
"01.42Z";"01.42";"01.4";"01";"A01";"A";"Élevage d'autres bovins et de buffles"
"01.43Z";"01.43";"01.4";"01";"A01";"A";"Élevage de chevaux et d'autres équidés"
"01.44Z";"01.44";"01.4";"01";"A01";"A";"Élevage de chameaux et d'autres camélidés"
"01.45Z";"01.45";"01.4";"01";"A01";"A";"Élevage d'ovins et de caprins"
"01.46Z";"01.46";"01.4";"01";"A01";"A";"Élevage de porcins"
"01.47Z";"01.47";"01.4";"01";"A01";"A";"Élevage de volailles"
"01.49Z";"01.49";"01.4";"01";"A01";"A";"Élevage d'autres animaux"
"01.50Z";"01.50";"01.5";"01";"A01";"A";"Culture et élevage associés"
"01.61Z";"01.61";"01.6";"01";"A01";"A";"Activités de soutien aux cultures"
"01.62Z";"01.62";"01.6";"01";"A01";"A";"Activités de soutien à la production animale"
"01.63Z";"01.63";"01.6";"01";"A01";"A";"Traitement primaire des récoltes"
"01.64Z";"01.64";"01.6";"01";"A01";"A";"Traitement des semences"
"01.70Z";"01.70";"01.7";"01";"A01";"A";"Chasse, piégeage et services annexes"
"02.10Z";"02.10";"02.1";"02";"A02";"A";"Sylviculture et autres activités forestières"
"02.20Z";"02.20";"02.2";"02";"A02";"A";"Exploitation forestière"
"02.30Z";"02.30";"02.3";"02";"A02";"A";"Récolte de produits forestiers non ligneux poussant à l'état sauvage"
"02.40Z";"02.40";"02.4";"02";"A02";"A";"Services de soutien à l'exploitation forestière"
"03.11Z";"03.11";"03.1";"03";"A03";"A";"Pêche en mer"
"03.12Z";"03.12";"03.1";"03";"A03";"A";"Pêche en eau douce"
"03.21Z";"03.21";"03.2";"03";"A03";"A";"Aquaculture en mer"
