"figaro_industry";"ilostat_sector"
"A01";"ECO_ISIC4_A"
"A02";"ECO_ISIC4_A"
"A03";"ECO_ISIC4_A"
"B";"ECO_ISIC4_B"
"C10T12";"ECO_ISIC4_C"
"C13T15";"ECO_ISIC4_C"
"C16";"ECO_ISIC4_C"
"C17";"ECO_ISIC4_C"
"C18";"ECO_ISIC4_C"
"C19";"ECO_ISIC4_C"
"C20";"ECO_ISIC4_C"
"C21";"ECO_ISIC4_C"
"C22";"ECO_ISIC4_C"
"C23";"ECO_ISIC4_C"
"C24";"ECO_ISIC4_C"
"C25";"ECO_ISIC4_C"
"C26";"ECO_ISIC4_C"
"C27";"ECO_ISIC4_C"
"C28";"ECO_ISIC4_C"
"C29";"ECO_ISIC4_C"
"C30";"ECO_ISIC4_C"
"C31_32";"ECO_ISIC4_C"
"C33";"ECO_ISIC4_C"
"D35";"ECO_ISIC4_D"
"E36";"ECO_ISIC4_E"
"E37T39";"ECO_ISIC4_E"
"F";"ECO_ISIC4_F"
"G45";"ECO_ISIC4_G"
"G46";"ECO_ISIC4_G"
"G47";"ECO_ISIC4_G"
"H49";"ECO_ISIC4_H"
"H50";"ECO_ISIC4_H"
"H51";"ECO_ISIC4_H"
"H52";"ECO_ISIC4_H"
"H53";"ECO_ISIC4_H"
"I";"ECO_ISIC4_I"
"J58";"ECO_ISIC4_J"
"J59_60";"ECO_ISIC4_J"
"J61";"ECO_ISIC4_J"
"J62_63";"ECO_ISIC4_J"
"K64";"ECO_ISIC4_K"
"K65";"ECO_ISIC4_K"
"K66";"ECO_ISIC4_K"
"L";"ECO_ISIC4_L"
"M69_70";"ECO_ISIC4_M"
"M71";"ECO_ISIC4_M"
"M72";"ECO_ISIC4_M"
"M73";"ECO_ISIC4_M"
"M74_75";"ECO_ISIC4_M"
"N77";"ECO_ISIC4_N"
"N78";"ECO_ISIC4_N"
"N79";"ECO_ISIC4_N"
"N80T82";"ECO_ISIC4_N"
"O84";"ECO_ISIC4_O"
"P85";"ECO_ISIC4_P"
"Q86";"ECO_ISIC4_Q"
"Q87_88";"ECO_ISIC4_Q"
"R90T92";"ECO_ISIC4_R"
"R93";"ECO_ISIC4_R"
"S94";"ECO_ISIC4_S"
"S95";"ECO_ISIC4_S"
"S96";"ECO_ISIC4_S"
"T";"ECO_ISIC4_T"
"U";"ECO_ISIC4_U"
