"figaro_country";"c_orig"
"AL";NA
"AR";"AR"
"AT";"AT"
"AU";"AU"
"BE";"BE"
"BG";"BG"
"BR";"BR"
"CA";"CA"
"CH";"CH"
"CN";"CN"
"CY";"CY"
"CZ";"CZ"
"DE";"DE"
"DK";"DK"
"EE";"EE"
"ES";"ES"
"FI";"FI"
"FR";"FR"
"GB";"UK"
"GR";"EL"
"HR";"HR"
"HU";"HU"
"ID";"ID"
"IE";"IE"
"IN";"IN"
"IT";"IT"
"JP";"JP"
"KR";"KR"
"LT";"LT"
"LU";"LU"
"LV";"LV"
"ME";NA
"MK";NA
"MT";"MT"
"MX";"MX"
"NL";"NL"
"NO";"NO"
"PL";"PL"
"PT";"PT"
"RO";"RO"
"RS";NA
"RU";"RU"
"SA";"SA"
"SE";"SE"
"SI";"SI"
"SK";"SK"
"TR";"TR"
"US";"US"
"ZA";"ZA"
"FIGW1";"WRL_REST"
