"figaro_industry";"oecd_activity"
"A01";"A01"
"A02";"A02"
"A03";"A03"
"B";"B"
"C10T12";"C10T12"
"C13T15";"C13T15"
"C16";"C16"
"C17";"C17"
"C18";"C18"
"C19";"C19"
"C20";"C20"
"C21";"C21"
"C22";"C22"
"C23";"C23"
"C24";"C24"
"C25";"C25"
"C26";"C26"
"C27";"C27"
"C28";"C28"
"C29";"C29"
"C30";"C30"
"C31_32";"C31_32"
"C33";"C33"
"D35";"D"
"E36";"E36"
"E37T39";"E37T39"
"F";"F"
"G45";"G45"
"G46";"G46"
"G47";"G47"
"H49";"H49"
"H50";"H50"
"H51";"H51"
"H52";"H52"
"H53";"H53"
"I";"I"
"J58";"J58"
"J59_60";"J59_60"
"J61";"J61"
"J62_63";"J62_63"
"K64";"K64"
"K65";"K65"
"K66";"K66"
"L";"L"
"M69_70";"M69_70"
"M71";"M71"
"M72";"M72"
"M73";"M73"
"M74_75";"M74_75"
"N77";"N77"
"N78";"N78"
"N79";"N79"
"N80T82";"N80T82"
"O84";"O"
"P85";"P"
"Q86";"Q86"
"Q87_88";"Q87_88"
"R90T92";"R90T92"
"R93";"R93"
"S94";"S94"
"S95";"S95"
"S96";"S96"
"T";"T"
"U";"U"
