PRODCOM Code	PRODCOM Label	Tonnage	CAS No. RefSub	Name RefSub	ENV C&L	Class ENV	HH C&L	Class HH
20132434	Sulphuric acid; oleum	18 687 992 	7664-93-9	Sulphuric acid	nc	0	314 (1A)	C
20141130	Ethylene	17 404 166 	74-85-1	Ethylene	nc	0	336	E
20151075	Anhydrous ammonia	13 034 415 	7664-41-7	Ammonia, anhydrous	400, 411	B	314 (1B), 331	D
20141140	Propene (propylene)	12 872 033 	115-07-1	Propene	nc	0	nc	0
20134310	Disodium carbonate	8 346 174 	497-19-8	Sodium carbonate	nc	0	319	E
20132111	Chlorine	8 007 202 	7782-50-5	Chlorine	400, 410	A	330 (Acute Tox. 2)	C
20132527	Sodium hydroxide in aqueous solution (soda lye or liquid soda)	7 445 748 	1310-73-2	Sodium hydroxide	nc	0	314 (1A)	C
20151050	Nitric acid; sulphonitric acids	6 982 144 	7697-37-2	Nitric acid	nc	0	314 (1A)	C
20111230	Carbon dioxide	6 700 000 	124-38-9	Carbon dioxide	nc	0	nc	0
20134157	Sulphates (excluding those of aluminium and barium)	 6 626 840 	7778-18-9	Calcium sulphate	nc	0	nc	0
20141223	Benzene	 6 580 734 	71-43-2	Benzene	412	C	350	A
20153300	Ammonium nitrate (excluding in tablets or similar forms or in packages of a weight of ≤ 10 kg)	 5 376 887 	6484-52-2	Ammonium nitrate	nc	0	319	E
20133130	Chlorides (excluding ammonium chloride)	 5 097 808 	10043-52-4	Calcium chloride	nc	0	319	E
20132413	Hydrogen chloride (hydrochloric acid)	 4 824 459 	7647-01-0	Hydrogen chloride	nc	0	314 (1A), 314 (1B) (so-lution), 331 (gas)	C
20111290	Inorganic oxygen compounds of non metals (excluding sulphur trioxide (sulphuric anhydride); diarsenic trioxide, nitrogen oxides, silicon dioxide, sulphur dioxide, carbon dioxide)	 4 711 578 	10049-04-4	Chlorine dioxide	400	E	314	D
20134340	Calcium carbonate	 4 540 549 	471-34-1	Calcium carbonate	nc	0	nc	0
20141371	Vinyl chloride (chloroethylene)	 4 483 328 	75-01-4	Chloroethylene	nc	0	350	A
20141250	Styrene	 4 256 755 	100-42-5	Styrene	412	C	361	B
20147340	Naphthalene and other aromatic hydrocarbon mixtures (excluding benzole, toluole, xylole)	 4 036 235 	91-20-3	Naphthalene	400, 410	A	351	B
20155100	Potassium chloride (excluding in tablets or similar forms or in packages of a weight of ≤ 10 kg)	 3 795 182 	7447-40-7	Potassium chloride	nc	0	nc	0
20143430	Phthalic anhydride; terephthalic acid and its salts	 3 391 899 	100-21-0	Terephthalic acid	nc	0	nc	0
20134320	Sodium hydrogencarbonate (sodium bicarbonate)	 3 275 851 	144-55-8	Sodium hydrogencarbonate	nc	0	nc	0
20132455	Phosphoric acid and polyphosphoric acids	 3 221 018 	7664-38-2	Orthophosphoric acid	nc	0	314 (1B)	D
20147390	Other oils and oil products, n.e.c.	 2 931 352 	91995-49-2	Distillates (coal tar), naphthalene oil crystn. mother liquor	410	A	350	A
20141260	Ethylbenzene	 2 862 866 	100-41-4	Ethylbenzene	412	C	373	D
20146111	Methanal (formaldehyde)	 2 852 266 	50-00-0	Formaldehyde	nc	0	350	A
20153530	Mixtures of ammonium nitrate with calcium carbonate, ≤ 28 % nitrogen by weight	 2 795 933 	6484-52-2	Ammonium nitrate	nc	0	319	E
20153130	Urea containing > 45 % by weight of nitrogen on the dry an¬hy¬drous product (excluding in tablets or similar forms or in packages of a weight of ≤ 10 kg)	 2 679 675 	57-13-6	Urea	nc	0	nc	0
20141160	Buta-1,3-diene and isoprene	 2 678 193 	106-99-0	Buta-1,3-diene	nc	0	350	A
20146310	Acyclic ethers and their halogenated, sulphonated, nitrated or nitrosated derivatives	 2 498 895 	1634-04-4	tert-butyl methyl ether	nc	0	315	E
20141353	1,2-Dichloroethane (ethylene dichloride)	 2 495 081 	107-06-2	1,2-dichloroethane	nc	0	350	A
20146375	Methyloxirane (propylene oxide)	 2 403 053 	75-56-9	Methyloxirane	nc	0	350	A
20142410	Monophenols	 2 320 621 	108-95-2	Phenol	411	B	341	B
20141150	Butene (butylene) and isomers thereof	 2 217 219 	25167-67-3	Butene	nc	0	nc	0
20146373	Oxirane (ethylene oxide)	 2 152 259 	75-21-8	Ethylene oxide	nc	0	340	A
20153200	Ammonium sulphate (excluding in tablets or similar forms or in packages of a weight of ≤ 10 kg)	 2 016 608 	7783-20-2	Ammonium sulphate	nc	0	nc	0
20141290	Other cyclic hydrocarbons	 2 000 000 	99-87-6	p-Cymene	nc	0	319	E
20147320	Benzol (benzene), toluol (toluene) and xylol (xylenes)	 1 985 065 	71-43-2	Benzene	412	C	350	A
20132570	Aluminium hydroxide	 1 896 674 	21645-51-2	Aluminium hydroxide	nc	0	nc	0
20141270	Cumene	 1 880 915 	98-82-8	Cumene	411	B	304	E
20132130	Carbon (carbon blacks and other forms of carbon, n.e.c.)	 1 872 669 	1333-86-4	Carbon black	nc	0	nc	0
20145280	Compounds containing in the structure an unfused pyridine ring or a quinoline or isoquinoline ring-system, not further fused; lac¬ta-mes; other heterocyclic compounds with nitrogen hetero-atom(s) only (excluding compounds containing in the structure an unfused py¬razole ring, an unfused imidazole ring, a pyrimidine ring, a pipe-ra¬zine ring or an unfused triazine ring)	 1 792 000 	105-60-2	ε-caprolactam	nc	0	319, 332	E
20136240	Silicates; commercial alkali metal silicates	 1 701 661 	1344-09-8	Sodium silicate	nc	0	314 (1B), 318	D
20132120	Sulphur, sublimed or precipitated; colloidal sulphur	 1 574 117 	7704-34-9	Ammonium sulphate	nc	0	315	E
