"figaro_industry";"anberd_activity"
"A01";"A"
"A02";"A"
"A03";"A"
"B";"B"
"C10T12";"C10T12"
"C13T15";"C13T15"
"C16";"C16"
"C17";"C17"
"C18";"C18"
"C19";"C19"
"C20";"C20"
"C21";"C21"
"C22";"C22"
"C23";"C23"
"C24";"C24"
"C25";"C25"
"C26";"C26"
"C27";"C27"
"C28";"C28"
"C29";"C29"
"C30";"C30"
"C31_32";"C31T33"
"C33";"C31T33"
"D35";"D35_E36"
"E36";"D35_E36"
"E37T39";"E37T39"
"F";"F"
"G45";"G"
"G46";"G"
"G47";"G"
"H49";"H"
"H50";"H"
"H51";"H"
"H52";"H"
"H53";"H"
"I";"I"
"J58";"J58"
"J59_60";"J59_60"
"J61";"J61"
"J62_63";"J62_63"
"K64";"K"
"K65";"K"
"K66";"K"
"L";"L"
"M69_70";"MX72"
"M71";"MX72"
"M72";"M72"
"M73";"MX72"
"M74_75";"MX72"
"N77";"N"
"N78";"N"
"N79";"N"
"N80T82";"N"
"O84";"O"
"P85";"P"
"Q86";"Q86"
"Q87_88";"Q87_88"
"R90T92";"R"
"R93";"R"
"S94";"STU"
"S95";"STU"
"S96";"STU"
"T";"STU"
"U";"STU"
