"figaro_industry";"nace_r2"
"A01";"TOTAL"
"A02";"TOTAL"
"A03";"TOTAL"
"B";"B-E"
"C10T12";"B-E"
"C13T15";"B-E"
"C16";"B-E"
"C17";"B-E"
"C18";"B-E"
"C19";"B-E"
"C20";"B-E"
"C21";"B-E"
"C22";"B-E"
"C23";"B-E"
"C24";"B-E"
"C25";"B-E"
"C26";"B-E"
"C27";"B-E"
"C28";"B-E"
"C29";"B-E"
"C30";"B-E"
"C31_32";"B-E"
"C33";"B-E"
"D35";"B-E"
"E36";"B-E"
"E37T39";"B-E"
"F";"F"
"G45";"G-I"
"G46";"G-I"
"G47";"G-I"
"H49";"G-I"
"H50";"G-I"
"H51";"G-I"
"H52";"G-I"
"H53";"G-I"
"I";"G-I"
"J58";"J_K"
"J59_60";"J_K"
"J61";"J_K"
"J62_63";"J_K"
"K64";"J_K"
"K65";"J_K"
"K66";"J_K"
"L";"L-N_R_S"
"M69_70";"L-N_R_S"
"M71";"L-N_R_S"
"M72";"L-N_R_S"
"M73";"L-N_R_S"
"M74_75";"L-N_R_S"
"N77";"L-N_R_S"
"N78";"L-N_R_S"
"N79";"L-N_R_S"
"N80T82";"L-N_R_S"
"O84";"TOTAL"
"P85";"TOTAL"
"Q86";"TOTAL"
"Q87_88";"TOTAL"
"R90T92";"L-N_R_S"
"R93";"L-N_R_S"
"S94";"L-N_R_S"
"S95";"L-N_R_S"
"S96";"L-N_R_S"
"T";"TOTAL"
"U";"TOTAL"
