"jrc_industry";"figaro_industry";"description"
"A01_A";"A01";"Cultivation of paddy rice"
"A01_B";"A01";"Cultivation of wheat"
"A01_C";"A01";"Cultivation of cereal grains nec"
"A01_D";"A01";"Cultivation of vegetables, fruit, nuts"
"A01_E";"A01";"Cultivation of oil seeds"
"A01_F";"A01";"Cultivation of sugar cane, sugar beet"
"A01_G";"A01";"Cultivation of plant-based fibers"
"A01_H";"A01";"Cultivation of crops nec"
"A01_I";"A01";"Cattle farming"
"A01_J";"A01";"Pigs farming"
"A01_K";"A01";"Poultry farming"
"A01_L";"A01";"Meat animals nec"
"A01_M";"A01";"Animal products nec"
"A01_N";"A01";"Raw milk"
"A01_O";"A01";"Wool, silk-worm cocoons"
"A01_P";"A01";"Manure treatment (conventional), storage and land application"
"A01_Q";"A01";"Manure treatment (biogas), storage and land application"
"A02";"A02";"Forestry, logging and related service activities"
"A03";"A03";"Fishing, operating of fish hatcheries and fish farms, service activities incidental to fishing"
"B05";"B";"Mining of coal and lignite, extraction of peat"
"B06_A";"B";"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying"
"B06_B";"B";"Extraction of natural gas and services related to natural gas extraction, excluding surveying"
"B06_C";"B";"Extraction, liquefaction, and regasification of other petroleum and gaseous materials"
"B07_A";"B";"Mining of iron ores"
"B07_B";"B";"Mining of uranium and thorium ores"
"B07_C";"B";"Mining of copper ores and concentrates"
"B07_D";"B";"Mining of nickel ores and concentrates"
"B07_E";"B";"Mining of aluminium ores and concentrates"
"B07_F";"B";"Mining of precious metal ores and concentrates"
"B07_G";"B";"Mining of lead, zinc and tin ores and concentrates"
"B07_H";"B";"Mining of other non-ferrous metal ores and concentrates"
"B08_A";"B";"Quarrying of stone"
"B08_B";"B";"Quarrying of sand and clay"
"B08_C";"B";"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c."
"C10_A";"C10T12";"Processing of meat cattle"
"C10_B";"C10T12";"Processing of meat pigs"
"C10_C";"C10T12";"Processing of meat poultry"
"C10_D";"C10T12";"Production of meat products nec"
"C10_E";"C10T12";"Manufacture of fish products"
"C10_F";"C10T12";"Processing vegetable oils and fats"
"C10_G";"C10T12";"Processing of dairy products"
"C10_H";"C10T12";"Processed rice"
"C10_I";"C10T12";"Sugar refining"
"C10_J";"C10T12";"Processing of Food products nec"
"C11";"C10T12";"Manufacture of beverages"
"C12";"C10T12";"Manufacture of tobacco products"
"C13";"C13T15";"Manufacture of textiles"
"C14";"C13T15";"Manufacture of wearing apparel, dressing and dyeing of fur"
"C15";"C13T15";"Tanning and dressing of leather, manufacture of luggage, handbags, saddlery, harness and footwear"
"C16_A";"C16";"Manufacture of wood and of products of wood and cork, except furniture, manufacture of articles of straw and plaiting materials"
"C16_B";"C16";"Re-processing of secondary wood material into new wood material"
"C17_A";"C17";"Pulp"
"C17_B";"C17";"Paper"
"C17_C";"C17";"Re-processing of secondary paper into new pulp"
"C18";"C18";"Printing and reproduction of recorded media"
"C191";"C19";"Manufacture of coke oven products"
"C192";"C19";"Petroleum Refinery"
"C20_A";"C20";"N-fertiliser"
"C20_B";"C20";"P- and other fertiliser"
"C20_C";"C20";"Plastics, basic"
"C20_D";"C20";"Re-processing of secondary plastic into new plastic"
"C21";"C21";"Chemicals nec"
"C22";"C22";"Manufacture of rubber and plastic products"
"C23_A";"C23";"Manufacture of glass and glass products"
"C23_B";"C23";"Re-processing of secondary glass into new glass"
"C23_C";"C23";"Manufacture of bricks, tiles and construction products, in baked clay"
"C23_D";"C23";"Manufacture of ceramic goods"
"C23_E";"C23";"Manufacture of cement, lime and plaster"
"C23_F";"C23";"Re-processing of ash into clinker"
"C23_G";"C23";"Manufacture of other non-metallic mineral products n.e.c."
"C24_A";"C24";"Manufacture of basic iron and steel and of ferro-alloys and first products thereof"
"C24_B";"C24";"Re-processing of secondary steel into new steel"
"C24_C";"C24";"Precious metals production"
"C24_D";"C24";"Re-processing of secondary preciuos metals into new preciuos metals"
"C24_E";"C24";"Aluminium production"
"C24_F";"C24";"Re-processing of secondary aluminium into new aluminium"
"C24_G";"C24";"Lead, zinc and tin production"
"C24_H";"C24";"Re-processing of secondary lead into new lead, zinc and tin"
"C24_I";"C24";"Copper production"
"C24_J";"C24";"Re-processing of secondary copper into new copper"
"C24_K";"C24";"Other non-ferrous metal production"
"C24_L";"C24";"Re-processing of secondary other non-ferrous metals into new other non-ferrous metals"
