"oecd_activity";"oecd_activity_level";"figaro_industry"
"A";"2";"A01"
"A";"2";"A02"
"A";"2";"A03"
"A01";"1";"A01"
"B";"1";"B"
"C";"5";"C10T12"
"C";"5";"C13T15"
"C";"5";"C16"
"C";"5";"C17"
"C";"5";"C18"
"C";"5";"C19"
"C";"5";"C20"
"C";"5";"C21"
"C";"5";"C22"
"C";"5";"C23"
"C";"5";"C24"
"C";"5";"C25"
"C";"5";"C26"
"C";"5";"C27"
"C";"5";"C28"
"C";"5";"C29"
"C";"5";"C30"
"C";"5";"C31_32"
"C";"5";"C33"
"C10T12";"1";"C10T12"
"C13T15";"1";"C13T15"
"C16";"1";"C16"
"C17_18";"2";"C17"
"C17_18";"2";"C18"
"C17";"1";"C17"
"C18";"1";"C18"
"C19";"1";"C19"
"C20_21";"2";"C20"
"C20_21";"2";"C21"
"C20T22";"3";"C20"
"C20T22";"3";"C21"
"C20T22";"3";"C22"
"C22";"1";"C22"
"C23";"1";"C23"
"C24_25";"2";"C24"
"C24_25";"2";"C25"
"C24";"1";"C24"
"C24T33";"4";"C24"
"C24T33";"4";"C25"
"C24T33";"4";"C26"
"C24T33";"4";"C27"
"C24T33";"4";"C28"
"C24T33";"4";"C29"
"C24T33";"4";"C30"
"C24T33";"4";"C31_32"
"C24T33";"4";"C33"
"C25T28";"2";"C25"
"C25T28";"2";"C26"
"C25T28";"2";"C27"
"C25T28";"2";"C28"
"C25";"1";"C25"
"C26T30";"3";"C26"
"C26T30";"3";"C27"
"C26T30";"3";"C28"
"C26T30";"3";"C29"
"C26T30";"3";"C30"
"C29T33";"3";"C29"
"C29T33";"3";"C30"
"C29T33";"3";"C31_32"
"C29T33";"3";"C33"
"C29_30";"2";"C29"
"C29_30";"2";"C30"
"C31T33";"2";"C31_32"
"C31T33";"2";"C33"
"D";"1";"D35"
"E";"2";"E36"
"E";"2";"E37T39"
"F";"1";"F"
"_O";"6";"G45"
"_O";"6";"G46"
"_O";"6";"G47"
"_O";"6";"H49"
"_O";"6";"H50"
"_O";"6";"H51"
"_O";"6";"H52"
"_O";"6";"H53"
"_O";"6";"I"
"_O";"6";"J58"
"_O";"6";"J59_60"
"_O";"6";"J61"
"_O";"6";"J62_63"
"_O";"6";"K64"
"_O";"6";"K65"
"_O";"6";"K66"
"_O";"6";"L"
"_O";"6";"M69_70"
"_O";"6";"M71"
"_O";"6";"M72"
"_O";"6";"M73"
"_O";"6";"M74_75"
"_O";"6";"N77"
"_O";"6";"N78"
"_O";"6";"N79"
"_O";"6";"N80T82"
"_O";"6";"O84"
"_O";"6";"P85"
"_O";"6";"Q86"
"_O";"6";"Q87_88"
"_O";"6";"R90T92"
"_O";"6";"R93"
"_O";"6";"S94"
"_O";"6";"S95"
"_O";"6";"S96"
"T98";"1";"T"
"_O";"6";"U"
