"figaro_industry";"coef_consumption";"note"
"A01";0.9;"Irrigation par aspersion"
"A02";0.9;"Irrigation par aspersion"
"A03";0.9;"Irrigation par aspersion"
"B";0.08;"Industrie extractive (hors hydrocarbures et minerais métalliques) et fabrication de produits minéraux non métallique"
"C10T12";0.27;"Fabrication de denrées alimentaires et de boissons"
"C13T15";0.22;"Fabrication de textiles, industrie de l’habillement, industrie du cuir et de la chaussure"
"C16";0.18;"Autres industries"
"C17";0.13;"Industrie du papier et du carton"
"C18";0.18;"Autres industries"
"C19";0.18;"Autres industries"
"C20";0.13;"Industrie chimique, industrie pharmaceutique et fabrication de produits en caoutchouc et plastique"
"C21";0.13;"Industrie chimique, industrie pharmaceutique et fabrication de produits en caoutchouc et plastique"
"C22";0.13;"Industrie chimique, industrie pharmaceutique et fabrication de produits en caoutchouc et plastique"
"C23";0.08;"Industrie extractive (hors hydrocarbures et minerais métalliques) et fabrication de produits minéraux non métallique"
"C24";0.34;"Métallurgie"
"C25";0.18;"Autres industries"
"C26";0.18;"Autres industries"
"C27";0.18;"Autres industries"
"C28";0.18;"Autres industries"
"C29";0.18;"Autres industries"
"C30";0.18;"Autres industries"
"C31_32";0.18;"Autres industries"
"C33";0.18;"Autres industries"
"D35";0.22;"Centrale nucléaire en circuit fermé"
"E36";0.12;"Utilisation de l’eau du réseau d’eau potable par les ménages"
"E37T39";0.17;"Collecte, traitement et élimination des déchets ; récupération "
"F";0.17;"Construction"
"G45";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"G46";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"G47";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"H49";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"H50";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"H51";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"H52";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"H53";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"I";0.12;"Hébergement"
"J58";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"J59_60";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"J61";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"J62_63";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"K64";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"K65";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"K66";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"L";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"M69_70";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"M71";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"M72";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"M73";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"M74_75";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"N77";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"N78";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"N79";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"N80T82";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"O84";0.12;"Autres bâtiments publics"
"P85";0.12;"Enseignement supérieur et recherche"
"Q86";0.12;"Hôpitaux et établissements médico-sociaux"
"Q87_88";0.12;"Hôpitaux et établissements médico-sociaux "
"R90T92";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"R93";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"S94";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"S95";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"S96";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
"T";0.90;"Utilisation des forages domestiques"
"U";0.12;"Autre tertiaire privé (bureau, logistique, etc.)"
