"secten";"annee";"budget_carbone"
"AGRICULTURE";"2015";89
"AGRICULTURE";"2019";85
"AGRICULTURE";"2020";83
"AGRICULTURE";"2021";82
"AGRICULTURE";"2022";81
"AGRICULTURE";"2023";80
"AGRICULTURE";"2024";79
"AGRICULTURE";"2025";78
"AGRICULTURE";"2026";77
"AGRICULTURE";"2027";76
"AGRICULTURE";"2028";75
"AGRICULTURE";"2029";74
"AGRICULTURE";"2030";73
"BATIMENTS";"2015";88
"BATIMENTS";"2019";85
"BATIMENTS";"2020";82
"BATIMENTS";"2021";78
"BATIMENTS";"2022";75
"BATIMENTS";"2023";71
"BATIMENTS";"2024";68
"BATIMENTS";"2025";64
"BATIMENTS";"2026";60
"BATIMENTS";"2027";56
"BATIMENTS";"2028";53
"BATIMENTS";"2029";49
"BATIMENTS";"2030";45
"DECHETS";"2015";17
"DECHETS";"2019";14
"DECHETS";"2020";14
"DECHETS";"2021";14
"DECHETS";"2022";13
"DECHETS";"2023";13
"DECHETS";"2024";12
"DECHETS";"2025";12
"DECHETS";"2026";12
"DECHETS";"2027";11
"DECHETS";"2028";11
"DECHETS";"2029";11
"DECHETS";"2030";11
"ENERGIE";"2015";47
"ENERGIE";"2019";51
"ENERGIE";"2020";52
"ENERGIE";"2021";48
"ENERGIE";"2022";45
"ENERGIE";"2023";42
"ENERGIE";"2024";39
"ENERGIE";"2025";36
"ENERGIE";"2026";35
"ENERGIE";"2027";34
"ENERGIE";"2028";33
"ENERGIE";"2029";32
"ENERGIE";"2030";31
"INDUSTRIE";"2015";81
"INDUSTRIE";"2019";76
"INDUSTRIE";"2020";74
"INDUSTRIE";"2021";72
"INDUSTRIE";"2022";70
"INDUSTRIE";"2023";68
"INDUSTRIE";"2024";67
"INDUSTRIE";"2025";65
"INDUSTRIE";"2026";63
"INDUSTRIE";"2027";63
"INDUSTRIE";"2028";58
"INDUSTRIE";"2029";55
"INDUSTRIE";"2030";53
"TRANSPORTS";"2015";137
"TRANSPORTS";"2019";133
"TRANSPORTS";"2020";132
"TRANSPORTS";"2021";129
"TRANSPORTS";"2022";125
"TRANSPORTS";"2023";122
"TRANSPORTS";"2024";119
"TRANSPORTS";"2025";116
"TRANSPORTS";"2026";112
"TRANSPORTS";"2027";109
"TRANSPORTS";"2028";106
"TRANSPORTS";"2029";102
"TRANSPORTS";"2030";99
