"figaro_industry";"secten"
"A01";"AGRICULTURE"
"A02";"AGRICULTURE"
"A03";"AGRICULTURE"
"B";"ENERGIE"
"C10T12";"INDUSTRIE"
"C13T15";"INDUSTRIE"
"C16";"INDUSTRIE"
"C17";"INDUSTRIE"
"C18";"INDUSTRIE"
"C19";"ENERGIE"
"C20";"INDUSTRIE"
"C21";"INDUSTRIE"
"C22";"INDUSTRIE"
"C23";"INDUSTRIE"
"C24";"INDUSTRIE"
"C25";"INDUSTRIE"
"C26";"INDUSTRIE"
"C27";"INDUSTRIE"
"C28";"INDUSTRIE"
"C29";"INDUSTRIE"
"C30";"INDUSTRIE"
"C31_32";"INDUSTRIE"
"C33";"INDUSTRIE"
"D35";"ENERGIE"
"E36";"INDUSTRIE"
"E37T39";"DECHETS"
"F";"INDUSTRIE"
"G45";"BATIMENTS"
"G46";"BATIMENTS"
"G47";"BATIMENTS"
"H49";"TRANSPORTS"
"H50";"TRANSPORTS"
"H51";"TRANSPORTS"
"H52";"TRANSPORTS"
"H53";"TRANSPORTS"
"I";"BATIMENTS"
"J58";"BATIMENTS"
"J59_60";"BATIMENTS"
"J61";"BATIMENTS"
"J62_63";"BATIMENTS"
"K64";"BATIMENTS"
"K65";"BATIMENTS"
"K66";"BATIMENTS"
"L";"BATIMENTS"
"M69_70";"BATIMENTS"
"M71";"BATIMENTS"
"M72";"BATIMENTS"
"M73";"BATIMENTS"
"M74_75";"BATIMENTS"
"N77";"BATIMENTS"
"N78";"BATIMENTS"
"N79";"BATIMENTS"
"N80T82";"BATIMENTS"
"O84";"BATIMENTS"
"P85";"BATIMENTS"
"Q86";"BATIMENTS"
"Q87_88";"BATIMENTS"
"R90T92";"BATIMENTS"
"R93";"BATIMENTS"
"S94";"BATIMENTS"
"S95";"BATIMENTS"
"S96";"BATIMENTS"
"T";"BATIMENTS"
"TOTAL";"TOTAL"
"U";"BATIMENTS"
